#Software:	X.Y.Z vom 20AA-BB-CC
#Machine ID:	SN000000
#ARNI-Generation:	ARNI_Gen_X
#Kamera:	AV__Alvium_1800_U-2050
#Sensor:	imx183
#Auflösung:	5496 x 3672
#Schirmgröße:	360 mm x 240 mm
#Abstand:	680 mm
#Effektive Auflösung:	16 px/mm
#Stromversorgung:	Solar
#Experiment Parameter:
#UTC Time:	2026-08-21 20:48:26
#Longitude:	12.34567890
#Latitude:	45.67891011
#Sonnenuntergang:	2026-08-21 20:37:40
#Sonnenaufgang:	2026-08-22 06:11:54
#Mondaufgang:	2026-08-21 16:24:18
#Monduntergang:	2026-08-21 22:18:12
#Mondphase:	66.14
#Maximale Kulminationshöhe:	6.9
#Beginn Monitoring:	20:47:40
#Ende Monitoring:	05:11:54
#Aufnahme Intervall:	2 min
********************
#Starting new Programme
#Local Time:	20:48:26
code	time_read	LUX	Temp_in	Inner_Sensor	bus_voltage	shunt_voltage	current	power	Power_Sensor	Temp_out	air_pressure	air_humidity	Environment_Sensor	Status_Kamera	Exposure	Gain	Brightness	Status_Visible_LED	Power_Visible_LED	LepiLED	Gamma_Corr_value
Lepmon#SN000000_XX_YYY_2026-08-21_T_2047	20:47:32	8.33	32.75	1	11.67	1.22	235.90	2.77	1	11.33	1011.63	87.58	1	1	170	6.0	206.0	1	4.37	active	0.65
Lepmon#SN000000_XX_YYY_2026-08-21_T_2049	20:49:01	7.08	32.88	1	11.67	1.23	237.43	2.80	1	11.24	1011.59	87.95	1	1	165	6.0	198.0	1	4.37	active	0.65
Lepmon#SN000000_XX_YYY_2026-08-21_T_2051	20:51:01	5.42	32.88	1	11.67	1.25	241.70	2.85	1	11.11	1011.62	88.43	1	1	160	6.0	188.0	1	4.38	active	0.65
Lepmon#SN000000_XX_YYY_2026-08-21_T_2053	20:53:01	3.75	32.88	1	11.67	1.27	244.14	2.88	1	10.98	1011.59	88.68	1	1	160	6.0	179.0	1	4.39	active	0.65
Lepmon#SN000000_XX_YYY_2026-08-21_T_2055	20:55:02	2.92	32.88	1	11.67	1.28	245.97	2.90	1	10.86	1011.60	88.75	1	1	160	6.0	175.0	1	4.38	active	0.65
Lepmon#SN000000_XX_YYY_2026-08-21_T_2057	20:57:02	2.08	33.00	1	11.67	1.28	246.89	2.90	1	10.75	1011.61	89.06	1	1	160	6.0	172.0	1	4.37	active	0.65
Lepmon#SN000000_XX_YYY_2026-08-21_T_2059	20:59:01	1.25	32.75	1	11.67	1.29	249.33	2.94	1	10.63	1011.60	89.15	1	1	165	6.0	170.0	1	4.36	active	0.65
Lepmon#SN000000_XX_YYY_2026-08-21_T_2101	21:01:01	0.83	32.75	1	11.67	1.29	249.94	2.94	1	10.54	1011.60	89.41	1	1	165	6.0	172.0	1	4.36	active	0.65
Lepmon#SN000000_XX_YYY_2026-08-21_T_2103	21:03:01	0.42	33.00	1	11.66	1.30	250.85	2.95	1	10.41	1011.62	89.57	1	1	165	6.0	170.0	1	4.39	active	0.65
Lepmon#SN000000_XX_YYY_2026-08-21_T_2105	21:05:01	0.00	32.62	1	11.67	1.31	252.69	2.98	1	10.30	1011.65	89.75	1	1	170	6.0	169.0	1	4.36	active	0.65
